name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
"RumahPlus Condet , Toko Cat, Toko Bangunan, Hardware Tools Listrik, Plumbing","Jl. Raya Tengah No.61, RT.4/RW.9, Kp. Tengah, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13540",tokopedia.com,0811-956-062,,4.5,-6.289003,106.7151298
TB Sinar Jaya Salihara,"Jl. Salihara No.6a 3, RT.3/RW.1, Jati Padang, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12540",,0878-8709-3709,,4.5,-6.289003,106.7151298
T.B. Megah Baru,"13, Jl. Raya Ragunan No.185, RT.13/RW.3, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520",,0852-1611-2299,,4.6,-6.289003,106.7151298
Toko BERKAT ABADI,"Jl. Poltangan Raya, RT.1/RW.5, Tj. Bar., Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12530",,,,5.0,-6.289003,106.7151298
Toko Sentosa Jaya,"Jl. Raya Rw. Bambu No.12, RT.13/RW.5, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520",,,,4.3,-6.289003,106.7151298
TB.Surya Jaya Gurame Raya,"Jl. Gurame Raya, RT.2/RW.nomer 8, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520",,(021) 7827206,,4.9,-6.289003,106.7151298
Toko Bina Usaha,"Jl. Aup No.60 6, RT.6/RW.10, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520",,(021) 7891669,,4.5,-6.289003,106.7151298
Tb. Surya Jaya,"Jl. Holtikultura Jl. Jati Raya No.47 15, RT.15/RW.6, Jati Padang, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520",,(021) 78830281,,4.3,-6.289003,106.7151298
AA Gudang Bangunan,"Jl. Raya Condet No.1A 1B, RT.5/RW.3, Balekambang, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13530",,(021) 29373665,,4.5,-6.289003,106.7151298
Toko Bangunan Jakarta Selatan Terlengkap - Mitra10 Fatmawati,"Jl. RS. Fatmawati Raya No.15 H, RT.1/RW.7, Gandaria Utara, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12140",mitra10.com,0878-0002-1010,,4.3,-6.289003,106.7151298
Tb. Joe Jaya,"Jl. Joe Klp. Tiga No.6-7 6, RT.6/RW.3, Lenteng Agung, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12620",,(021) 78884507,,4.6,-6.289003,106.7151298
Sari Murni Toko,"Jl. Raya Pasar Minggu No.73, RT.10/RW.8, Pejaten Timur, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520",,0819-1806-9347,,3.0,-6.289003,106.7151298
Toko Bangunan Timbul Jaya,"Jl. Batu Ampar 3 No.1 7, RT.1/RW.4, Batu Ampar, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13520",,(021) 8005678,,4.8,-6.289003,106.7151298
Toko Bangunan Bin Mu'thi,"Jl. Langgar No.38C 1, RT.1/RW.6, Tj. Bar., Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12530",,(021) 78848806,,4.5,-6.289003,106.7151298
TB Bangun Jaya,"Jl. H. Amil No.25, Pejaten Bar., Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520",,0888-8181-311,,4.6,-6.289003,106.7151298
TB. Ampar Jaya,"Jl. Batu Ampar 3 No.5A, RT.12/RW.2, Batu Ampar, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13520",,0852-1922-0058,,4.8,-6.289003,106.7151298
Bangun Jaya,"Jl. Raya Pasar Minggu No.43, Pejaten Timur, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12510",,(021) 7996910,,4.2,-6.289003,106.7151298
MAKMUR BANGUNAN,"Jl. Percetakan Negara No.66D, Johar Baru, Kec. Johar Baru, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10560",tokopedia.com,0878-8570-9000,,4.8,-6.289003,106.7151298
"RumahPlus Jagakarsa, Toko Cat, Toko Bangunan, Hardware Tools, Listrik, Plumbing","Jl. Jeruk Raya No.7, RT.5/RW.1, Jagakarsa, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12620",tokopedia.com,0811-1999-9713,,4.9,-6.289003,106.7151298
Toko Bangunan VIVA,"8, Jl. Pancawarga III No.1, RT.8/RW.5, Cipinang Besar Sel., Kecamatan Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13410",,0821-1070-1820,,4.7,-6.289003,106.7151298
Bangun Jaya,"Jl. Raya Pasar Minggu No.43, Pejaten Timur, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12510",,(021) 7996910,,4.2,-6.289003,106.7151298
MAKMUR BANGUNAN,"Jl. Percetakan Negara No.66D, Johar Baru, Kec. Johar Baru, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10560",tokopedia.com,0878-8570-9000,,4.8,-6.289003,106.7151298
"RumahPlus Jagakarsa, Toko Cat, Toko Bangunan, Hardware Tools, Listrik, Plumbing","Jl. Jeruk Raya No.7, RT.5/RW.1, Jagakarsa, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12620",tokopedia.com,0811-1999-9713,,4.9,-6.289003,106.7151298
Toko Bangunan VIVA,"8, Jl. Pancawarga III No.1, RT.8/RW.5, Cipinang Besar Sel., Kecamatan Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13410",,0821-1070-1820,,4.7,-6.289003,106.7151298
Toko Bangunan Jakarta Pusat Terlengkap - Mitra10 Percetakan Negara,"Blok 36C, Jl. Percetakan Negara, Rawasari, Kec. Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",mitra10.com,0878-0002-1010,,4.4,-6.289003,106.7151298
Toko Bangunan Alam Makmur,"Jl. Karbela Barat No.7, Kuningan, Karet, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12920",,0851-7445-8168,,4.6,-6.289003,106.7151298
TB Bangun Indah Gemilang No. 2,"12, Jl. Taman Margasatwa Raya No.2, RT.12/RW.5, Jati Padang, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12540",,(021) 7800194,,4.5,-6.289003,106.7151298
"Toko Cat,Keramik & Listrik Sumber Jaya","Jalan Raya Tengah, Samping Jl. Swadaya No.136, RT.3/RW.9, Kp. Tengah, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13540",,0878-8810-5650,,4.6,-6.289003,106.7151298
Tb. Cahaya Abadi,"Jl. Gaharu I No.46, RT.9/RW.4, Cipete Sel., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12410",,(021) 7694940,,4.5,-6.289003,106.7151298
Toko Bangunan Padang Jaya,"Jl. Bulak Ringin No.5 1, RT.1/RW.3, Cibubur, Kec. Ciracas, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13720",,(021) 87707099,,4.7,-6.289003,106.7151298
Toko Bangunan Sinar Jaya,"Jl. Nusa Indah Raya No.2, RT.2/RW.1, Pd. Kopi, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13460",,0855-9999-646,,4.8,-6.2208787,106.7950406
TB Sumber Mas,"Jl. Sepat No.88, RT.9/RW.2, Kebagusan, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520",,(021) 78845481,,4.7,-6.3022585,106.6869056
TB. Usaha Baru,"Jl. Raya Inpres, RT.2/RW.3, Batu Ampar, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13520",,(021) 8096294,,4.6,-6.3022585,106.6869056
Toko Besi Surya Mas,"Jl. Pejaten Raya No.28, RT.9/RW.10, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12510",,(021) 7890011,,4.6,-6.3022585,106.6869056
Toko Bangunan Sumber Makmur,"Nomer Jl. Guru No.18 6, RT.6/RW.2, Lenteng Agung, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12610",,0878-8080-6777,,4.8,-6.3022585,106.6869056
Toko Bangunan Hari-hari,"Jl. Mandala Utara No.21 17, RT.7/RW.4, Tomang, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11440",,0811-1705-143,,,-6.3022585,106.6869056
TB Toko Bangunan Material Mawar abadi 4 Halim,"Jl. Raya Jl. Halim Perdana Kusuma No.1, Kb. Pala, Kec. Makasar, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13610",,0812-1868-9355,,,-6.3022585,106.6869056
Toko Bangunan Alam Makmur,"Jl. H. Nawi Raya No.23, RT.7/RW.7, Gandaria Utara, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12140",,(021) 7250363,,,-6.3022585,106.6869056
Toko Sinar Bangunan II,"Jl. Cilandak Tengah Raya No.16 7, RT.7/RW.1, Cilandak Bar., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12430",,(021) 75904448,,4.5,-6.3022585,106.6869056
Toko Bangunan Restu Jaya,"No Jl. Buncit Raya No.3 4, RT.4/RW.2, Duren Tiga, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12760",,(021) 7992870,,4.6,-6.3022585,106.6869056
TB. Berkah Bangunan,"Jl. Kalibata Tengah No.2, RT.2/RW.3, Kalibata, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12740",,0811-8112-205,,4.3,-6.3022585,106.6869056
Toko Bangunan Persada (Bangka),"Jl.bangka Raya no.1 Perapatan Bangka 7 Dan 8, Dekat Kemang, RT.8/RW.7, Pela Mampang, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12720",,0811-1995-519,,4.5,-6.3022585,106.6869056
Toko Thalia,"Jl. Raya Pasar Minggu No.31, RT.6/RW.1, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520",,(021) 7805057,,4.7,-6.3022585,106.6869056
Toko Bangunan Berkah - UD Berkah,"Jl. Rawajati Timur I No.12, RT.5/RW.1, Rawajati, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12750",,(021) 7973470,,4.9,-6.3022585,106.6869056
TB Raja Bangunan,"Jl. Bangka IX C No.92 9, RT.12/RW.5, Pela Mampang, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12720",desty.page,0815-1071-6809,,4.5,-6.3022585,106.6869056
TB. Makmur Jaya,"Jl. Batu Ampar 3 No.29, Batu Ampar, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13520",,(021) 80873183,,4.5,-6.3022585,106.6869056
Toko Bangunan MS,"Jl. Cinere Raya No.12A, Cinere, Kec. Cinere, Kota Depok, Jawa Barat 16514",,0813-1515-5538,,4.7,-6.3022585,106.6869056
Duta Bangunan,"No. 8 D, Jl. Pejaten Raya, RT.13/RW.2, Jati Padang, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12540",,,,4.5,-6.3022585,106.6869056
TB. MAJU,"Kecamatan:, Kelurahan: Bangka, Jl. Kemang Raya No.92, RT.:10.Rw:2/RW.2, Kec. Mampang Prpt., Daerah Khusus Ibukota Jakarta 12730",,(021) 71793609,,4.7,-6.3022585,106.6869056
Toko Bangunan Tiga Mas,"Jl. Bahagia Raya Blok IV No.1-2, Depok Timur, Kec. Sukmajaya, Kota Depok, Jawa Barat 16417",,(021) 7702918,,4.7,-6.3022585,106.6869056
Toko Bangunan Batu Raden,"RR47+WV5, Jl. Kh. MAS Mansyur,Jakpus., RT.1/RW.8, Kb. Kacang, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10230",,,,4.5,-6.1927322,106.6705352
Toko bangunan Al Yamin,"Jl. Kerja Bakti, Makasar, Kec. Makasar, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13570",,(021) 8003766,,4.5,-6.1927322,106.6705352
Toko Material Cahaya Timur,"Jl. Cahaya Titis No.53, Beji, Kecamatan Beji, Kota Depok, Jawa Barat 16426",,(021) 7752264,,4.4,-6.3830733,106.6636757
TOKO BANGUNAN DIMAS,"Jl. Inspeksi Kali Grogol, Jl. Palmerah Utara No.19, RT.6/RW.7, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",,0812-1990-9595,,4.6,-6.2050829,106.6485553
Maha Bangunan,"Jl. Ciputat Raya No.144, RT.6/RW.2, Pd. Pinang, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12310",mahabangunan.com,0857-7332-5260,,4.9,-6.2050829,106.6485553
Toko Bangunan Sinar Baru,"Jl. Moch. Kahfi II No.7, RT.1/RW.3, Cipedak, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12630",,(021) 7873369,,4.7,-6.3531903,106.6670528
Jati Mas,"Jl. Wr. Jati Timur Raya No.83 8, RT.8/RW.4, Kalibata, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12740",,(021) 79193671,,4.6,-6.3531903,106.6670528
Agung Bangunan II,"TB Agung Bangunan 2, Jl. Dukuh V No.17A, RT.1/RW.4, Dukuh, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13550",agungbangunan2.com,(021) 8412370,,4.9,-6.3531903,106.6670528
Toko Bangunan Hidup Makmur,"Jl. H.Remaih No.30 4, RT.4/RW.7, Baru, Kec. Ps. Rebo, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13780",,(021) 8411119,,4.5,-6.3531903,106.6670528
